,entity,code,year,adult_literacy_rate__population_15plus_years__both_sexes__pct__lr_ag15t99
554,Greece,GRC,1981,90.51
555,Greece,GRC,1991,92.61
556,Greece,GRC,2001,95.99
557,Greece,GRC,2009,93.91
558,Grenada,GRD,1970,97.79
559,Guadeloupe,GLP,1982,90.1
560,Guam,GUM,1980,96.42
561,Guam,GUM,1990,99.37
562,Guatemala,GTM,1994,64.21
563,Guatemala,GTM,2002,69.1
564,Guatemala,GTM,2012,78.26
565,Guatemala,GTM,2013,77.04
566,Guatemala,GTM,2014,81.29
567,Guatemala,GTM,2015,80.2
568,Guatemala,GTM,2018,80.81
569,Guatemala,GTM,2022,83.03
570,Guatemala,GTM,2023,83.01958
571,Guatemala,GTM,2024,82.11
572,Guinea,GIN,1996,20.55
573,Guinea,GIN,2003,29.7
574,Guinea,GIN,2010,25.31
575,Guinea,GIN,2014,32.0
576,Guinea,GIN,2018,39.62
577,Guinea-Bissau,GNB,1979,19.96
578,Guinea-Bissau,GNB,2000,41.36
579,Guinea-Bissau,GNB,2019,54.88
580,Guinea-Bissau,GNB,2022,63.93
581,Guyana,GUY,2020,85.64
582,Haiti,HTI,1982,34.73
583,Haiti,HTI,2003,58.74
584,Haiti,HTI,2012,73.95334
585,Haiti,HTI,2017,68.01
586,High-income countries,OWID_HIC,2020,97.71
587,Honduras,HND,2001,80.01
588,Honduras,HND,2007,83.59
589,Honduras,HND,2010,84.76
590,Honduras,HND,2011,85.12
591,Honduras,HND,2012,85.36
592,Honduras,HND,2013,85.46
593,Honduras,HND,2014,87.2
594,Honduras,HND,2015,87.91
595,Honduras,HND,2016,88.99
596,Honduras,HND,2018,87.21
597,Honduras,HND,2019,88.51
598,Honduras,HND,2022,88.21928
599,Honduras,HND,2023,87.09
600,Honduras,HND,2024,88.25
601,Hungary,HUN,1980,98.86
602,India,IND,1981,40.76
603,India,IND,1991,48.22
604,India,IND,2001,61.01
605,India,IND,2006,62.75
606,India,IND,2010,68.32582
607,India,IND,2011,69.3
608,India,IND,2012,69.82793
609,India,IND,2018,73.688354
610,India,IND,2019,74.89386
611,India,IND,2020,75.52706
612,India,IND,2021,76.05966
613,India,IND,2022,76.32
614,India,IND,2023,81.7
615,India,IND,2024,78.16254
616,Indonesia,IDN,1980,67.31
617,Indonesia,IDN,1990,81.52
618,Indonesia,IDN,2004,90.38
619,Indonesia,IDN,2006,91.98
620,Indonesia,IDN,2008,92.19
621,Indonesia,IDN,2009,92.58
622,Indonesia,IDN,2010,92.32
623,Indonesia,IDN,2011,92.81
624,Indonesia,IDN,2014,95.12
625,Indonesia,IDN,2015,95.22
626,Indonesia,IDN,2016,95.38
627,Indonesia,IDN,2018,95.66
628,Indonesia,IDN,2020,96.0
629,Iran,IRN,1976,36.52
630,Iran,IRN,1986,52.32
631,Iran,IRN,1991,65.53
632,Iran,IRN,1996,73.06
633,Iran,IRN,2002,77.0
634,Iran,IRN,2005,82.44
635,Iran,IRN,2006,82.33
636,Iran,IRN,2008,82.96
637,Iran,IRN,2009,83.22224
638,Iran,IRN,2010,83.664665
639,Iran,IRN,2011,83.52
640,Iran,IRN,2012,83.63
641,Iran,IRN,2013,84.63
642,Iran,IRN,2014,84.71
643,Iran,IRN,2015,85.28343
644,Iran,IRN,2016,85.54
