,entity,code,year,illiteracy_rate,literacy_rate
838,Jordan,JOR,2005,8.870003,91.13
839,Jordan,JOR,2007,7.800003,92.2
840,Jordan,JOR,2010,7.449997,92.55
841,Jordan,JOR,2011,4.0999985,95.9
842,Jordan,JOR,2012,2.1100006,97.89
843,Jordan,JOR,2018,4.5699997,95.43
844,Jordan,JOR,2023,5.1500015,94.85
845,Jordan,JOR,2024,5.5599976,94.44
847,Kazakhstan,KAZ,1999,0.48999786,99.51
848,Kazakhstan,KAZ,2009,0.26999664,99.73
850,Kenya,KEN,2000,17.769997,82.23
852,Kiribati,KIR,2018,2.040001,97.96
853,Kiribati,KIR,2020,1.3920212,98.60798
858,Kuwait,KWT,1995,21.599998,78.4
859,Kuwait,KWT,2005,6.7300034,93.27
860,Kuwait,KWT,2006,6.720001,93.28
861,Kuwait,KWT,2007,6.3399963,93.66
862,Kuwait,KWT,2008,6.0999985,93.9
863,Kuwait,KWT,2010,5.529999,94.47
864,Kuwait,KWT,2012,4.489998,95.51
865,Kuwait,KWT,2013,4.4100037,95.59
866,Kuwait,KWT,2015,4.3099976,95.69
867,Kuwait,KWT,2017,3.959999,96.04
868,Kuwait,KWT,2018,3.9400024,96.06
869,Kuwait,KWT,2020,3.540001,96.46
870,Kyrgyzstan,KGZ,1999,1.300003,98.7
871,Kyrgyzstan,KGZ,2009,0.76000214,99.24
873,Laos,LAO,1995,39.75,60.25
874,Laos,LAO,2000,30.419998,69.58
875,Laos,LAO,2001,31.269997,68.73
876,Laos,LAO,2005,27.300003,72.7
877,Laos,LAO,2015,15.339996,84.66
878,Laos,LAO,2017,26.279999,73.72
879,Laos,LAO,2023,24.36,75.64
896,Latin America and Caribbean (WB),WB_LAC,1990,16.029999,83.97
897,Latin America and Caribbean (WB),WB_LAC,1991,15.349998,84.65
898,Latin America and Caribbean (WB),WB_LAC,1992,14.68,85.32
899,Latin America and Caribbean (WB),WB_LAC,1993,14.019997,85.98
900,Latin America and Caribbean (WB),WB_LAC,1994,13.379997,86.62
901,Latin America and Caribbean (WB),WB_LAC,1995,12.739998,87.26
902,Latin America and Caribbean (WB),WB_LAC,1996,12.349998,87.65
903,Latin America and Caribbean (WB),WB_LAC,1997,12.07,87.93
904,Latin America and Caribbean (WB),WB_LAC,1998,11.709999,88.29
905,Latin America and Caribbean (WB),WB_LAC,1999,11.379997,88.62
906,Latin America and Caribbean (WB),WB_LAC,2000,11.080002,88.92
907,Latin America and Caribbean (WB),WB_LAC,2001,10.889999,89.11
908,Latin America and Caribbean (WB),WB_LAC,2002,10.599998,89.4
909,Latin America and Caribbean (WB),WB_LAC,2003,9.900002,90.1
910,Latin America and Caribbean (WB),WB_LAC,2004,9.620003,90.38
911,Latin America and Caribbean (WB),WB_LAC,2005,9.639999,90.36
